fdc_id,description,nutrient_id,name,amount,unit_name
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",1229,Cysteine and methionine(sulfer containig AA),0.0,G
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",1230,Phenylalanine and tyrosine (aromatic  AA),0.0,G
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",1272,PUFA 22:6 n-3 (DHA),0.0,G
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",1278,PUFA 20:5 n-3 (EPA),0.0,G
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",1316,"PUFA 18:2 n-6 c,c",0.0,G
168394,"Balsam-pear (bitter gourd), pods, cooked, boiled, drained, without salt",1404,"PUFA 18:3 n-3 c,c,c (ALA)",0.0,G
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",1003,Protein,4.83,G
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",1004,Total lipid (fat),0.58,G
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",1005,"Carbohydrate, by difference",4.72,G
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",1008,Energy,33.0,KCAL
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",1087,"Calcium, Ca",19.0,MG
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",1088,"Chlorine, Cl",0.0,MG
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",1089,"Iron, Fe",0.89,MG
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",1090,"Magnesium, Mg",23.0,MG
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",1091,"Phosphorus, P",38.0,MG
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",1092,"Potassium, K",194.0,MG
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",1093,"Sodium, Na",7.0,MG
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",1095,"Zinc, Zn",0.44,MG
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",1098,"Copper, Cu",0.174,MG
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",1100,"Iodine, I",0.0,UG
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",1101,"Manganese, Mn",0.199,MG
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",1103,"Selenium, Se",0.6,UG
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",1104,"Vitamin A, IU",2.0,IU
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",1110,"Vitamin D (D2 + D3), International Units",0.0,IU
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",1109,Vitamin E (alpha-tocopherol),0.0,MG
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",1165,Thiamin,0.362,MG
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",1166,Riboflavin,0.273,MG
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",1167,Niacin,3.024,MG
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",1170,Pantothenic acid,0.381,MG
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",1171,"Vitamin B-6, pyridoxine, alcohol form",0.0,MG
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",1178,Vitamin B-12,0.0,UG
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",1180,"Choline, total",0.0,MG
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",1186,Folic acid,0.0,UG
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",1210,Tryptophan,0.05,G
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",1211,Threonine,0.203,G
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",1212,Isoleucine,0.214,G
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",1213,Leucine,0.347,G
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",1214,Lysine,0.275,G
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",1215,Methionine,0.05,G
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",1217,Phenylalanine,0.243,G
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",1219,Valine,0.248,G
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",1220,Arginine,0.263,G
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",1221,Histidine,0.135,G
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",1229,Cysteine and methionine(sulfer containig AA),0.0,G
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",1230,Phenylalanine and tyrosine (aromatic  AA),0.0,G
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",1272,PUFA 22:6 n-3 (DHA),0.0,G
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",1278,PUFA 20:5 n-3 (EPA),0.0,G
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",1316,"PUFA 18:2 n-6 c,c",0.0,G
168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",1404,"PUFA 18:3 n-3 c,c,c (ALA)",0.0,G
